hour,place,count
0,吳記沙拉船&好記蔬食鹽水雞,1
0,岩田丼屋歡迎您！,1
0,澎福食品行,1
0,文化路蔥油餅,1
0,獨領風騷,2
0,天津蔥抓餅,3
0,夏天茶飲,1
0,外婆麵猴,1
0,葉子的店,1
0,四季肉圓專賣店,1
0,小小間,1
0,美味登場飯麵館,1
0,夯小管燒x雞蛋糕,1
0,海島海產大賣場,1
0,霸味薑母鴨,1
0,紫光複合式餐飲,2
0,14巷復刻飛鏢餐館,1
0,大口香雞排,1
0,澎湖湯包王,1
0,味真香新港鴨肉羹臭豆腐,2
0,玻玻飲食店,1
0,Bella調酒專賣店,3
0,熊掌心健康果茶,1
0,邁泰MAI TAI THAI TEA,1
0,芳遠水果行,1
0,澎湖 朝陽路肉圓,1
0,秀秀蔥大餅,1
0,弗洛伊得飲酒店,1
0,WENWENSUB,1
0,秋喜肉蛋吐司,1
0,聚鮮食堂,1
0,桃太郎日式料理,1
0,High wave pizza,1
1,劉正港檸檬汁-中華店,2
1,菲菲檸檬,1
1,味真香新港鴨肉羹臭豆腐,1
1,弗洛伊得飲酒店,2
1,曾記滿福堂擔仔麵,1
1,阿鳳牛肉河粉,1
1,巴適麻辣鍋,1
2,玻玻飲食店,1
2,品川元麻辣串串,2
2,吹蚵仔的海鮮小吃,1
2,海口峰海產行,1
2,洛克先生酒吧,1
2,自由塔,1
2,四方早餐店,1
3,招柴莉莉,1
4,北海道海產專賣店,1
4,小小間,1
4,海島海產大賣場,1
4,白灣景觀餐廳,1
4,拾捌度C鮮果茶飲站,1
4,五鮮上醬海產專賣,1
5,原豆工坊咖啡專賣店,1
5,招柴莉莉,1
6,澎湖水仙宮,1
6,澎湖樂晨早午餐,1
6,自由塔,1
6,金港黑砂糖剉冰-澎湖店,1
6,小林包子饅頭店,1
6,大口香雞排,1
7,雨軒冰茶,1
7,漁夫才哥企業社,1
7,振發食品行,1
7,蔬脆蛋餅,1
7,曾記滿福堂擔仔麵,1
7,呷飽飽燒烤屋,2
7,本家食堂日式料理,1
7,好享吃小火鍋,1
7,石泉火雞肉飯,1
7,鮮食堂海鮮蒸鍋,1
7,澎漁宴餐廳,1
7,阿鳳牛肉河粉,1
7,美德西點麵包店,1
7,源羊肉店,1
7,澎南海產行,1
7,ㄇㄇ的臭豆腐,1
7,趴兔PART TWO茶坊,2
7,四方早餐店,1
7,金海集,1
7,澎湖樂晨早午餐,1
7,津旺素食,1
7,佶肯美式漢堡炸雞,1
7,京典小吃部,1
7,登峰藝品行(登峰特產行),1
7,大口香雞排,1
7,桃太郎日式料理,1
7,阿力香雞排-文山店,1
7,小蘑菇義大利麵,1
7,Bella調酒專賣店,1
8,旭西餅舖,1
8,欣欣麵食館,1
8,澎湖樂晨早午餐,2
8,岩質咖啡,2
8,小螞蟻牛排,2
8,小小間,3
8,秀秀蔥大餅,2
8,榕徽嬤?吃吃喝喝,2
8,回鄉餐館-(義大利麵 濃湯 炒飯 便當),1
8,曾記滿福堂擔仔麵,4
8,自由塔,1
8,世軒西點麵包????,4
8,映咖啡 INN Coffee,1
8,澎湖 朝陽路肉圓,1
8,小正傢私店,1
8,美德西點麵包店,1
8,純意居蔬食超市,1
8,好吃的黑糖糕就在水月堂食品行～,1
8,呷飽飽燒烤屋,1
8,小門鯨魚洞站,1
8,京典小吃部,1
8,新巴適經典麻辣鍋,1
8,祥馨鮮鮮果舖,1
8,本家食堂日式料理,1
8,嚐香聚牛肉麵,2
8,好享吃小火鍋,1
8,桃太郎日式料理,2
8,台灣大餅早午餐,2
8,夯小管燒x雞蛋糕,1
8,石滬廣場站,2
8,天津蔥抓餅,2
8,秋喜肉蛋吐司,2
8,四季肉圓專賣店,1
8,品川元麻辣串串,1
8,阿力香雞排-文山店,1
8,Bella調酒專賣店,2
8,文化路蔥油餅,1
8,鯨 鯊威瑪,1
8,北海道海產專賣店,1
8,芳遠水果行,1
8,鮮食堂海鮮蒸鍋,1
8,聚鮮食堂,1
8,海口峰海產行,1
8,吳記沙拉船&好記蔬食鹽水雞,1
8,獨領風騷,1
8,澎湖海洋地質公園中心(1F),1
8,日香美食坊歡迎您～,1
9,新臺澎海產購物中心,1
9,澎湖 朝陽路肉圓,4
9,鮮食堂海鮮蒸鍋,3
9,純意居蔬食超市,1
9,榕徽嬤?吃吃喝喝,1
9,夯小管燒x雞蛋糕,1
9,白灣景觀餐廳,1
9,龍門閉鎖陣地,1
9,大口香雞排,2
9,三ㄚ店&潮style,2
9,海玩子雞蛋糕,2
9,四方早餐店,3
9,秀秀蔥大餅,1
9,拾捌度C鮮果茶飲站,2
9,澎湖伯伴手禮坊,2
9,沐一日式豬排專賣店,1
9,七美小棧,1
9,文馨文石工坊,2
9,台灣大餅早午餐,4
9,秋喜肉蛋吐司,1
9,金港黑砂糖剉冰-澎湖店,2
9,桃太郎日式料理,1
9,皮克吐司,2
9,阿鳳牛肉河粉,2
9,瑞師父海菜煎餅,1
9,自由塔,2
9,澎湖海洋地質公園中心,1
9,澎湖樂晨早午餐,1
9,嚐香聚牛肉麵,1
9,媽宮海產行到了！,3
9,小和食光輕食館,2
9,達咖啡,1
9,跨海大橋(西嶼端),1
9,飛特潛艦Victor Johni’R,1
9,芳遠水果行,1
9,老餅新料蔥油餅,1
9,獨領風騷,1
9,小螞蟻牛排,2
9,石滬廣場站,3
9,天津蔥抓餅,2
9,信興海產行滿500元送餅乾一包,1
9,巴適麻辣鍋,1
9,文化路蔥油餅,1
9,岩質咖啡,2
9,小門鯨魚洞站,1
9,津旺素食,1
9,萬泰食品,1
9,澎福食品行,1
9,多那之澎湖店,1
9,Bella調酒專賣店,1
9,源羊肉店,1
9,好享吃小火鍋,1
9,新巴適經典麻辣鍋,2
9,日香美食坊歡迎您～,1
9,小林包子饅頭店,1
9,駱哥港式點心,1
9,品川元麻辣串串,1
9,信誼海產,1
9,通樑古榕,1
9,趴兔PART TWO茶坊,1
9,金海集,1
9,小小間,1
9,曾記滿福堂擔仔麵,1
9,臭臉大叔?烤甜圈,1
9,海貝創意工作室,1
9,Mr.大雞,1
9,紫光複合式餐飲,1
9,夏天茶飲,1
10,媽宮海產行到了！,3
10,澎湖 朝陽路肉圓,3
10,自由塔,8
10,阿鳳牛肉河粉,3
10,芳遠水果行,3
10,駱哥港式點心,1
10,呷飽飽燒烤屋,1
10,台灣大餅早午餐,2
10,鮮食堂海鮮蒸鍋,2
10,源利軒黑糖糕老店,1
10,信誼海產,3
10,澎湖海洋地質公園中心(1F),1
