no,Time,UserID/MemID,設置點,緯度,經度,place_id
0,2/1/2022 1:07:51 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,吳家小館,23.63269,119.59865,ChIJgWTbWNBbbDQR8CTWafLvjDg
1,2/1/2022 1:19:12 PM,Ua3e61aaf987823389bb9e5792db3b17d,某個角落,23.56492,119.56492,ChIJT5NyhYOpQjQRer8vmxm2pQY
2,2/1/2022 1:29:49 PM,U5fd8a6c36b2a2370bb0184a98f40b911,清心飲食店,23.60018,119.50975,ChIJnbAMPBOpQjQRi9fb1xiur1w
4,2/1/2022 1:42:42 PM,U5bd82e43dc73309eeb6907f4289db0b1,蒙地卡羅咖啡館,23.56733,119.56683,ChIJMUY99PJabDQRT6mnNNbvong
5,2/1/2022 1:44:04 AM,U16f92b0df914c40495c60e84bf79adba,劉正港檸檬汁-中華店,23.57204,119.57574,ChIJKV5DcQ1bbDQRdxjFjIxHKEs
6,2/1/2022 1:44:21 AM,U715df1e900eb20c8a489602d1d2ea5cc,劉正港檸檬汁-中華店,23.57204,119.57574,
8,2/1/2022 1:57:01 PM,Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,振發食品行,23.56413,119.5642,ChIJOQKqwa03aDQRdWUUj-skPf8
9,2/1/2022 10:01:09 PM,U0d5a39ecd31b0b2b63f941e2d03cb796,葉子的店,23.57429,119.57824,ChIJfYyqojxbbDQRGGxepd_BnfY
13,2/1/2022 10:36:26 PM,U58001d9adfe8f94262b41bcaf841093b,駱哥港式點心,23.56584,119.56856,ChIJIZeoF4tbbDQRArpaCIcKdRI
14,2/1/2022 10:39:07 PM,Uc6ca45181f84f93c8037448e8d1945cd,鮮食堂海鮮蒸鍋,23.56566,119.56462,ChIJI8R1IGc3aDQRNUAparOfbhw
19,2/1/2022 11:28:45 PM,U3c29e39a18fb2239afcf1a9ce5da3d09,澎漁宴餐廳,23.56625705,119.5690162,ChIJK8LlxoxabDQR9PAJ71QRSMQ
20,2/1/2022 11:30:33 AM,Uf4a9fa99caa0a39087a140f14921328b,雨軒冰茶,23.58504,119.65937,ChIJ1yLDhNQdaDQRpWUg4naVkwI
23,2/1/2022 11:52:44 AM,U3bc29efa4e459e4802139b075e9574e8,芳遠水果行,23.56751,119.56721,ChIJQzBnhYWpQjQR7Vr5CPt4quk
24,2/1/2022 11:55:39 AM,Ud396de5c092143ad087e50d3fbcd042d,瑞師父海菜煎餅,23.56579,119.56542,ChIJPSvBJfNabDQR38pPWb1IbtI
26,2/1/2022 12:01:57 AM,U9572c40e3c203b07c0391eaf8b27a9d4,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57102,ChIJXeQ0NtZbbDQRvYutJi9-Cyk
28,2/1/2022 12:06:32 AM,U1533b24c18a3e1f1479bdb79969431d9,岩田丼屋歡迎您！,23.57708,119.57257,ChIJTRMp-_JabDQRUnK6SeL9Hcs
30,2/1/2022 12:07:03 AM,Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,澎福食品行,23.58479347,119.6631239,ChIJOQKqwa03aDQRdWUUj-skPf8
31,2/1/2022 12:07:34 PM,U70e839055608596fa7b05aefe69821e3,富勝食品企業行,23.54909,119.61929,ChIJo33GSERFbDQR5xCG0Xk0Kuo
32,2/1/2022 12:09:13 AM,U7f3b78bc013a2e7bb853218f9817e79c,文化路蔥油餅,23.56825,119.56753,ChIJq_Fhd2ipQjQRmwksF_0508U
34,2/1/2022 12:13:20 AM,U7f3b78bc013a2e7bb853218f9817e79c,獨領風騷,23.56815,119.56751,ChIJq_Fhd2ipQjQRmwksF_0508U
35,2/1/2022 12:19:21 AM,U3bc29efa4e459e4802139b075e9574e8,天津蔥抓餅,23.57431,119.5792,ChIJQzBnhYWpQjQR7Vr5CPt4quk
36,2/1/2022 12:20:27 AM,U8eb2e7fe550a6d1e4a1519e405d3c917,夏天茶飲,23.57184,119.57075,ChIJN9-vTe5abDQRt5TDf4_F5kU
37,2/1/2022 12:21:04 AM,Uaae89b5752af1bf17f87d9cf02d03e41,外婆麵猴,23.57246,119.57467,ChIJBwOBAAdFbDQRusz1SM14xhM
38,2/1/2022 12:22:04 PM,U317cec3c5157e6f8bb09cfb3a514f5cc,大口香雞排,23.56719,119.56471,ChIJ_x9G3vJabDQRyF4Mlt23SYQ
39,2/1/2022 12:24:40 PM,U1b7003bab2aaf402832cd6851b431769,原豆工坊咖啡專賣店,23.56409,119.56508,ChIJzV38LvNabDQRGh1qBJwaVC0
42,2/1/2022 12:42:30 AM,U3bc29efa4e459e4802139b075e9574e8,葉子的店,23.57429,119.57824,ChIJQzBnhYWpQjQR7Vr5CPt4quk
44,2/1/2022 2:09:45 PM,U863b8cae579201d96dab41d5e002a5a3,小螞蟻牛排,23.56836,119.56831,ChIJRzYoJ_1bbDQR9Mc83QLsd98
45,2/1/2022 2:23:41 PM,Uaae89b5752af1bf17f87d9cf02d03e41,白灣景觀餐廳,23.56154,119.64737,ChIJBwOBAAdFbDQRusz1SM14xhM
46,2/1/2022 2:31:49 PM,U41cdbf64df0886d0acae01076f860cb9,愛家好朋友素食屋,23.57727,119.57231,ChIJgQ9hUuRabDQRj5lwxDjyAvA
50,2/1/2022 2:48:50 PM,U863b8cae579201d96dab41d5e002a5a3,老餅新料蔥油餅,23.57605,119.57486,ChIJRzYoJ_1bbDQR9Mc83QLsd98
52,2/1/2022 3:11:20 PM,Ue1f9ea92a0df617e7e86b7ad1106c5e2,霸味薑母鴨,23.5705,119.57567,ChIJnakPMvNabDQRHhTSe32Wu_A
53,2/1/2022 3:11:44 PM,U0ecca1d37264bc79c881ea6b7a03cc5b,佶肯美式漢堡炸雞,23.56354,119.56659,ChIJ2cPHGUpbbDQRVpSpFauCZVk
56,2/1/2022 3:46:27 PM,U84d3f6e73571a6a5db8cabb3f2759eaa,外垵福氣刈包,23.56469,119.47946,ChIJ20lg-PJabDQRDHiKMctfOv0
57,2/1/2022 3:58:33 PM,U6700554e734c9f720440c275b8b13b96,我們是望安CAFE,23.56506,119.56816,ChIJ0Syx1uREbDQRqEicAa2YcVE
61,2/1/2022 4:37:43 AM,U3404039d365530b0fa956fe36d03d68b,北海道海產專賣店,23.56637,119.56886,ChIJI_0vfe1abDQRRaggHe2FpWQ
62,2/1/2022 4:46:12 PM,U06d6966af476ff8ac22df66626410381,沐一日式豬排專賣店,23.57319,119.57316,ChIJH6_areIfaDQRxbw1ItW8NYE
64,2/1/2022 5:18:40 PM,U84d3f6e73571a6a5db8cabb3f2759eaa,好享吃小火鍋,23.56745,119.56641,ChIJ20lg-PJabDQRDHiKMctfOv0
65,2/1/2022 5:31:52 PM,U317cec3c5157e6f8bb09cfb3a514f5cc,三ㄚ店&潮style,23.56705,119.56538,ChIJ_x9G3vJabDQRyF4Mlt23SYQ
66,2/1/2022 5:32:37 PM,U62e621513454187f94290692689f56ad,桃太郎日式料理,23.56613,119.56468,ChIJv9NX1XU9aTQRIvMYrBHdhc0
67,2/1/2022 5:38:39 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,澎湖伯伴手禮坊,23.57123973,119.5799884,ChIJgWTbWNBbbDQR8CTWafLvjDg
69,2/1/2022 6:13:35 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,六六八餐廳,23.57152446,119.5676683,ChIJgWTbWNBbbDQR8CTWafLvjDg
70,2/1/2022 6:26:27 PM,U6700554e734c9f720440c275b8b13b96,漁夫才哥企業社,23.58167831,119.638447,ChIJ0Syx1uREbDQRqEicAa2YcVE
71,2/1/2022 6:26:39 AM,U78abaddc12fb13da74ea5cf110c3e776,澎湖水仙宮,23.56385,119.56416,ChIJH51iv4xabDQRXl_HIFjwFrY
72,2/1/2022 6:57:48 PM,U54d5e3f6e7f2d29a5a7200b210fe4892,海玩子雞蛋糕,23.56997,119.56894,ChIJfRyEck1bbDQRW1v231YeUP8
74,2/1/2022 7:24:27 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,海口峰海產行,23.56315044,119.5831612,ChIJgWTbWNBbbDQR8CTWafLvjDg
76,2/1/2022 7:35:35 PM,U863b8cae579201d96dab41d5e002a5a3,新巴適經典麻辣鍋,23.57179,119.57882,ChIJRzYoJ_1bbDQR9Mc83QLsd98
77,2/1/2022 7:39:45 AM,Ud66db3a385e85e727a0ab9f3d4130cc0,雨軒冰茶,23.58504,119.65937,
78,2/1/2022 7:40:42 AM,Ua3939a175af1ebc9979229dc604647ec,漁夫才哥企業社,23.58167831,119.638447,ChIJcdr58_JabDQR7Z9m1T38Qes
79,2/1/2022 7:48:46 PM,U3c29e39a18fb2239afcf1a9ce5da3d09,品川元麻辣串串,23.56319,119.59046,ChIJK8LlxoxabDQR9PAJ71QRSMQ
80,2/1/2022 7:55:20 PM,U58001d9adfe8f94262b41bcaf841093b,拾捌度C鮮果茶飲站,23.57436,119.5795,ChIJIZeoF4tbbDQRArpaCIcKdRI
81,2/1/2022 7:55:44 AM,U78abaddc12fb13da74ea5cf110c3e776,振發食品行,23.56413,119.5642,ChIJH51iv4xabDQRXl_HIFjwFrY
82,2/1/2022 7:57:12 AM,U0b14300de9a4d57d38b5599bb17c5fc4,蔬脆蛋餅,23.56632,119.56511,ChIJm-8sPfNabDQR3Gp44W0AwU4
84,2/1/2022 8:07:37 PM,Ucdba1bf15e1eb63bbe2a6bc301d768d0,石滬廣場站,23.56312198,119.5648365,ChIJT6bv8YxabDQRDJJkLTdthb4
86,2/1/2022 8:25:41 PM,U0ecca1d37264bc79c881ea6b7a03cc5b,海口峰海產行,23.56315044,119.5831612,ChIJ2cPHGUpbbDQRVpSpFauCZVk
87,2/1/2022 8:36:58 AM,U6578f650fb2e12f080ace324fd338c80,旭西餅舖,23.58575,119.65961,ChIJ41I-4lxEbDQRaUI2tT-zhTs
89,2/1/2022 9:00:57 AM,U7676d997af8f09860c497735040717d5,新臺澎海產購物中心,23.56733,119.56717,ChIJw0K1XelabDQRR05-D8tl7SM
92,2/1/2022 9:08:30 AM,U818fd6da9a2a8e5b11cf9562a14849d0,澎湖 朝陽路肉圓,23.57339,119.57697,ChIJXxmz95i7QjQR2KV4hNKmZqA
93,2/1/2022 9:22:23 AM,U58001d9adfe8f94262b41bcaf841093b,鮮食堂海鮮蒸鍋,23.56566,119.56462,ChIJIZeoF4tbbDQRArpaCIcKdRI
98,2/1/2022 9:59:59 AM,U818fd6da9a2a8e5b11cf9562a14849d0,純意居蔬食超市,23.57356,119.57634,ChIJXxmz95i7QjQR2KV4hNKmZqA
101,2/10/2022 1:17:35 PM,U1f2baccfa1b2d88b8f29575722fb2121,岩質咖啡,23.56646069,119.5790493,ChIJAUljgLlbbDQRwuvTXGBzHnE
102,2/10/2022 1:17:36 PM,U1f2baccfa1b2d88b8f29575722fb2121,澎湖海洋地質公園中心,23.56633846,119.5787976,ChIJAUljgLlbbDQRwuvTXGBzHnE
103,2/10/2022 1:28:16 PM,U69b0447bac1e28d81d936460bb471e45,澎湖海洋地質公園中心(1F),23.56642,119.57891,ChIJAUljgLlbbDQRwuvTXGBzHnE
107,2/10/2022 10:47:15 AM,Udc2acab56b09deeed9ec2d76a1fd169e,媽宮海產行到了！,23.56491,119.56533,ChIJpVXXBaBbbDQR9NbO3ifqXR8
109,2/10/2022 11:01:00 PM,U38c7bdd36eb764384f5a6071a362651f,飛特潛艦Victor Johni’R,23.56737,119.56745,ChIJjb-f_e5abDQRjlx7oCHlPoM
110,2/10/2022 11:04:47 AM,Ub248b130077deabae7f715d3c6eac3f9,紐西蘭牛排館,23.57295,119.57542,ChIJS_WdDvJabDQRs6gYjJqno2I
112,2/10/2022 11:05:51 PM,U38c7bdd36eb764384f5a6071a362651f,小小間,23.57003,119.56901,ChIJjb-f_e5abDQRjlx7oCHlPoM
113,2/10/2022 11:12:06 PM,U38c7bdd36eb764384f5a6071a362651f,夏天茶飲,23.57184,119.57075,ChIJjb-f_e5abDQRjlx7oCHlPoM
114,2/10/2022 11:28:22 PM,U38c7bdd36eb764384f5a6071a362651f,阿鳳牛肉河粉,23.57142,119.57239,ChIJjb-f_e5abDQRjlx7oCHlPoM
116,2/10/2022 11:37:53 AM,U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,阿鳳牛肉河粉,23.57142,119.57239,ChIJ0Yjn9-5abDQRR86lBh66Sxk
118,2/10/2022 11:46:47 AM,U898548b221dd0e23c4624e82ccaf6fb4,小小間,23.57003,119.56901,
119,2/10/2022 11:49:00 AM,U863b8cae579201d96dab41d5e002a5a3,呷飽飽燒烤屋,23.57558,119.58025,ChIJRzYoJ_1bbDQR9Mc83QLsd98
121,2/10/2022 11:49:34 AM,U1533b24c18a3e1f1479bdb79969431d9,日香美食坊歡迎您～,23.57466,119.5768,ChIJTRMp-_JabDQRUnK6SeL9Hcs
122,2/10/2022 12:11:35 PM,U1533b24c18a3e1f1479bdb79969431d9,曾記滿福堂擔仔麵,23.57406,119.57323,ChIJTRMp-_JabDQRUnK6SeL9Hcs
123,2/10/2022 12:14:00 PM,Uac8f1738516975144175970d61cd80a6,沐一日式豬排專賣店,23.57319,119.57316,ChIJE7ziGXlbbDQRyDbn42cIOt0
