no,Time,UserID/MemID,設置點,緯度,經度,place_id
476,2/15/2022 12:50:33 PM,Ue1f9ea92a0df617e7e86b7ad1106c5e2,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
688,2/18/2022 11:36:25 AM,U50284f2fcdf83512e9e4968a77e2a672,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
853,2/2/2022 6:37:21 PM,Ue7237672494c6a4bbebedf37072e668a,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
996,2/21/2022 9:06:20 PM,U4332565833250053201b43e54b81963e,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
1214,2/24/2022 6:46:13 PM,U98d0d675417375da1eea4c4bd7cdb2e9,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
1393,2/27/2022 7:18:51 PM,U42cd1dac03b8d84f1d468a0ff03d9969,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
2009,2/9/2022 7:32:58 PM,U90aa7d9aa32ab7c5d0d35d0872b10286,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
2540,3/16/2022 12:28:11 PM,U731cac930835d6b45c4db9932ffc97f7,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
3581,3/4/2022 6:50:34 PM,Uc31b6630118080fe58e0cf134b3b4124,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
4062,4/12/2022 6:00:30 PM,U317cec3c5157e6f8bb09cfb3a514f5cc,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
4240,4/16/2022 7:35:39 PM,U7f8cc11658910a8d1e4cbb29fdd94e25,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
4269,4/17/2022 5:42:21 PM,Uc90a03dc5c8efd275ba07ee176e23375,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
