Timestamp,Identity,Gender,Fort San Domingo,Tamsui Old Street,Tamshui Gold Seashore,Hobe Fort,Fisherman's Wharf,Shalun Beach
2025/11/20 00:00,Student,Male,7,8,8,7,8,8
2025/11/20 00:01,Student,Male,7,8,8,7,8,8
2025/11/20 00:02,Student,Male,7,8,8,7,8,8
2025/11/20 00:08,Student,Male,7,8,8,7,8,8
2025/11/20 00:12,Non-Student,Female,7,8,9,6,9,7
2025/11/20 00:16,Student,Male,7,8,8,7,8,8
2025/11/20 00:21,Student,Male,7,8,8,7,8,8
2025/11/20 00:23,Student,Female,6,8,8,6,9,8
2025/11/20 00:29,Student,Male,7,8,8,7,8,8
2025/11/20 00:31,Student,Male,7,8,8,7,8,8
2025/11/20 00:32,Student,Male,7,8,8,7,8,8
2025/11/20 00:36,Student,Male,7,8,8,7,8,8
2025/11/20 00:39,Student,Male,7,8,8,7,8,8
2025/11/20 00:55,Student,Male,7,8,8,7,8,8
2025/11/20 01:06,Student,Male,7,8,8,7,8,8
2025/11/20 01:12,Student,Male,7,8,8,7,8,8
2025/11/20 01:16,Student,Male,7,8,8,7,8,8
2025/11/20 01:17,Non-Student,Male,6,10,10,6,10,6
2025/11/20 01:46,Student,Female,6,8,8,6,9,8
2025/11/20 01:50,Student,Male,7,8,8,7,8,8
2025/11/20 01:53,Student,Male,7,8,8,7,8,8
2025/11/20 02:06,Student,Male,7,8,8,7,8,8
2025/11/20 02:20,Student,Female,6,8,8,6,9,8
2025/11/20 02:20,Student,Male,7,8,8,7,8,8
2025/11/20 02:20,Student,Male,7,8,8,7,8,8
2025/11/20 02:25,Student,Male,7,8,8,7,8,8
2025/11/20 02:27,Student,Male,7,8,8,7,8,8
2025/11/20 02:28,Student,Female,6,8,8,6,9,8
2025/11/20 02:28,Student,Female,6,8,8,6,9,8
2025/11/20 02:49,Student,Male,7,8,8,7,8,8
2025/11/20 02:52,Student,Male,7,8,8,7,8,8
2025/11/20 02:53,Student,Male,7,8,8,7,8,8
2025/11/20 03:18,Student,Female,6,8,8,6,9,8
2025/11/20 03:24,Student,Female,6,8,8,6,9,8
2025/11/20 04:02,Student,Male,7,8,8,7,8,8
2025/11/20 04:11,Student,Male,7,8,8,7,8,8
2025/11/20 04:13,Student,Female,6,8,8,6,9,8
2025/11/20 04:19,Student,Male,7,8,8,7,8,8
2025/11/20 04:53,Student,Male,7,8,8,7,8,8
2025/11/20 04:54,Student,Male,7,8,8,7,8,8
2025/11/20 05:02,Student,Female,6,8,8,6,9,8
2025/11/20 05:02,Student,Male,7,8,8,7,8,8
2025/11/20 05:05,Student,Male,7,8,8,7,8,8
2025/11/20 05:22,Student,Male,7,8,8,7,8,8
2025/11/20 05:25,Student,Male,7,8,8,7,8,8
2025/11/20 05:27,Student,Male,7,8,8,7,8,8
2025/11/20 05:34,Student,Male,7,8,8,7,8,8
2025/11/20 05:34,Student,Female,6,8,8,6,9,8
2025/11/20 05:40,Student,Female,6,8,8,6,9,8
2025/11/20 06:06,Student,Male,7,8,8,7,8,8
2025/11/20 06:09,Student,Male,7,8,8,7,8,8
2025/11/20 06:15,Non-Student,Male,6,10,10,6,10,6
2025/11/20 06:17,Student,Female,6,8,8,6,9,8
2025/11/20 06:17,Student,Female,6,8,8,6,9,8
2025/11/20 06:19,Student,Female,6,8,8,6,9,8
2025/11/20 06:25,Student,Female,6,8,8,6,9,8
2025/11/20 06:28,Student,Male,7,8,8,7,8,8
2025/11/20 06:38,Student,Female,6,8,8,6,9,8
2025/11/20 06:40,Student,Male,7,8,8,7,8,8
2025/11/20 06:42,Student,Female,6,8,8,6,9,8
2025/11/20 06:43,Student,Male,7,8,8,7,8,8
2025/11/20 06:46,Student,Female,6,8,8,6,9,8
2025/11/20 07:03,Student,Male,7,8,8,7,8,8
2025/11/20 07:13,Student,Male,7,8,8,7,8,8
2025/11/20 07:14,Student,Male,7,8,8,7,8,8
2025/11/20 07:16,Student,Male,7,8,8,7,8,8
2025/11/20 07:25,Student,Male,7,8,8,7,8,8
2025/11/20 07:26,Student,Male,7,8,8,7,8,8
2025/11/20 07:34,Student,Female,6,8,8,6,9,8
2025/11/20 07:34,Student,Male,7,8,8,7,8,8
2025/11/20 07:35,Student,Female,6,8,8,6,9,8
2025/11/20 07:55,Student,Female,6,8,8,6,9,8
2025/11/20 07:56,Student,Female,6,8,8,6,9,8
2025/11/20 08:04,Student,Male,7,8,8,7,8,8
2025/11/20 08:29,Student,Male,7,8,8,7,8,8
2025/11/20 08:30,Student,Male,7,8,8,7,8,8
2025/11/20 08:38,Student,Male,7,8,8,7,8,8
2025/11/20 08:39,Student,Male,7,8,8,7,8,8
2025/11/20 08:43,Student,Male,7,8,8,7,8,8
2025/11/20 08:44,Student,Male,7,8,8,7,8,8
2025/11/20 08:53,Student,Male,7,8,8,7,8,8
2025/11/20 08:57,Student,Male,7,8,8,7,8,8
2025/11/20 08:58,Student,Female,6,8,8,6,9,8
2025/11/20 09:04,Student,Male,7,8,8,7,8,8
2025/11/20 09:13,Non-Student,Female,7,8,9,6,9,7
2025/11/20 09:14,Student,Male,7,8,8,7,8,8
2025/11/20 09:14,Student,Male,7,8,8,7,8,8
2025/11/20 09:20,Student,Female,6,8,8,6,9,8
2025/11/20 09:24,Student,Male,7,8,8,7,8,8
2025/11/20 09:30,Student,Male,7,8,8,7,8,8
2025/11/20 09:39,Student,Male,7,8,8,7,8,8
2025/11/20 09:41,Student,Male,7,8,8,7,8,8
2025/11/20 09:49,Student,Male,7,8,8,7,8,8
2025/11/20 09:54,Student,Male,7,8,8,7,8,8
2025/11/20 09:58,Student,Male,7,8,8,7,8,8
2025/11/20 10:00,Student,Female,6,8,8,6,9,8
2025/11/20 10:05,Student,Male,7,8,8,7,8,8
2025/11/20 10:08,Student,Male,7,8,8,7,8,8
2025/11/20 10:14,Student,Male,7,8,8,7,8,8
2025/11/20 10:21,Student,Female,6,8,8,6,9,8
2025/11/20 10:22,Student,Male,7,8,8,7,8,8
2025/11/20 10:25,Student,Male,7,8,8,7,8,8
2025/11/20 10:26,Student,Male,7,8,8,7,8,8
2025/11/20 10:26,Student,Male,7,8,8,7,8,8
2025/11/20 10:28,Student,Male,7,8,8,7,8,8
2025/11/20 10:39,Student,Male,7,8,8,7,8,8
2025/11/20 10:54,Student,Male,7,8,8,7,8,8
2025/11/20 10:57,Student,Male,7,8,8,7,8,8
2025/11/20 11:01,Student,Male,7,8,8,7,8,8
2025/11/20 11:02,Student,Male,7,8,8,7,8,8
2025/11/20 11:31,Student,Female,6,8,8,6,9,8
2025/11/20 11:51,Student,Female,6,8,8,6,9,8
2025/11/20 11:51,Student,Male,7,8,8,7,8,8
2025/11/20 11:54,Student,Male,7,8,8,7,8,8
2025/11/20 11:55,Student,Male,7,8,8,7,8,8
2025/11/20 11:58,Student,Male,7,8,8,7,8,8
2025/11/20 11:58,Student,Female,6,8,8,6,9,8
2025/11/20 12:06,Student,Male,7,8,8,7,8,8
2025/11/20 12:11,Student,Female,6,8,8,6,9,8
2025/11/20 12:12,Student,Male,7,8,8,7,8,8
2025/11/20 12:12,Student,Male,7,8,8,7,8,8
2025/11/20 12:14,Student,Male,7,8,8,7,8,8
2025/11/20 12:19,Student,Male,7,8,8,7,8,8
2025/11/20 12:28,Student,Male,7,8,8,7,8,8
2025/11/20 12:33,Student,Female,6,8,8,6,9,8
2025/11/20 12:45,Student,Male,7,8,8,7,8,8
2025/11/20 12:54,Student,Male,7,8,8,7,8,8
2025/11/20 12:55,Student,Male,7,8,8,7,8,8
2025/11/20 12:56,Student,Female,6,8,8,6,9,8
2025/11/20 12:56,Student,Male,7,8,8,7,8,8
2025/11/20 13:05,Student,Male,7,8,8,7,8,8
2025/11/20 13:07,Student,Male,7,8,8,7,8,8
2025/11/20 13:07,Student,Male,7,8,8,7,8,8
2025/11/20 13:10,Student,Male,7,8,8,7,8,8
2025/11/20 13:16,Student,Male,7,8,8,7,8,8
2025/11/20 13:24,Student,Male,7,8,8,7,8,8
2025/11/20 13:30,Student,Male,7,8,8,7,8,8
2025/11/20 13:32,Student,Male,7,8,8,7,8,8
2025/11/20 13:44,Non-Student,Female,7,8,9,6,9,7
2025/11/20 13:46,Student,Male,7,8,8,7,8,8
2025/11/20 13:48,Student,Male,7,8,8,7,8,8
2025/11/20 13:50,Student,Female,6,8,8,6,9,8
2025/11/20 13:54,Student,Male,7,8,8,7,8,8
2025/11/20 13:54,Student,Female,6,8,8,6,9,8
2025/11/20 14:02,Student,Male,7,8,8,7,8,8
2025/11/20 14:08,Student,Male,7,8,8,7,8,8
2025/11/20 14:19,Student,Male,7,8,8,7,8,8
2025/11/20 14:27,Student,Male,7,8,8,7,8,8
2025/11/20 14:33,Student,Male,7,8,8,7,8,8
2025/11/20 14:36,Student,Male,7,8,8,7,8,8
2025/11/20 14:53,Student,Male,7,8,8,7,8,8
2025/11/20 14:59,Student,Male,7,8,8,7,8,8
2025/11/20 15:00,Student,Male,7,8,8,7,8,8
2025/11/20 15:05,Student,Female,6,8,8,6,9,8
2025/11/20 15:11,Student,Male,7,8,8,7,8,8
2025/11/20 15:15,Student,Male,7,8,8,7,8,8
2025/11/20 15:15,Student,Male,7,8,8,7,8,8
2025/11/20 15:17,Student,Female,6,8,8,6,9,8
2025/11/20 15:24,Student,Female,6,8,8,6,9,8
2025/11/20 15:27,Student,Male,7,8,8,7,8,8
2025/11/20 15:32,Student,Male,7,8,8,7,8,8
2025/11/20 15:33,Student,Male,7,8,8,7,8,8
2025/11/20 15:33,Student,Female,6,8,8,6,9,8
2025/11/20 15:52,Student,Male,7,8,8,7,8,8
2025/11/20 16:08,Student,Male,7,8,8,7,8,8
2025/11/20 16:15,Non-Student,Male,6,10,10,6,10,6
2025/11/20 16:28,Student,Male,7,8,8,7,8,8
2025/11/20 16:59,Non-Student,Female,7,8,9,6,9,7
2025/11/20 17:00,Student,Male,7,8,8,7,8,8
2025/11/20 17:13,Student,Male,7,8,8,7,8,8
2025/11/20 17:21,Student,Male,7,8,8,7,8,8
2025/11/20 17:29,Student,Male,7,8,8,7,8,8
2025/11/20 17:48,Student,Male,7,8,8,7,8,8
2025/11/20 17:51,Student,Male,7,8,8,7,8,8
2025/11/20 17:54,Student,Male,7,8,8,7,8,8
2025/11/20 17:56,Student,Male,7,8,8,7,8,8
2025/11/20 17:59,Student,Male,7,8,8,7,8,8
2025/11/20 18:04,Student,Male,7,8,8,7,8,8
2025/11/20 18:13,Student,Female,6,8,8,6,9,8
2025/11/20 18:18,Student,Male,7,8,8,7,8,8
2025/11/20 18:24,Student,Male,7,8,8,7,8,8
2025/11/20 18:25,Student,Male,7,8,8,7,8,8
2025/11/20 18:33,Student,Male,7,8,8,7,8,8
2025/11/20 18:35,Student,Male,7,8,8,7,8,8
2025/11/20 18:36,Student,Male,7,8,8,7,8,8
2025/11/20 18:36,Student,Female,6,8,8,6,9,8
2025/11/20 18:47,Student,Female,6,8,8,6,9,8
2025/11/20 18:53,Student,Female,6,8,8,6,9,8
2025/11/20 18:56,Student,Male,7,8,8,7,8,8
2025/11/20 19:02,Student,Male,7,8,8,7,8,8
2025/11/20 19:06,Student,Male,7,8,8,7,8,8
2025/11/20 19:25,Student,Male,7,8,8,7,8,8
2025/11/20 19:27,Student,Male,7,8,8,7,8,8
2025/11/20 19:27,Student,Male,7,8,8,7,8,8
2025/11/20 19:29,Student,Male,7,8,8,7,8,8
2025/11/20 19:31,Student,Male,7,8,8,7,8,8
2025/11/20 19:35,Student,Male,7,8,8,7,8,8
2025/11/20 19:39,Student,Female,6,8,8,6,9,8
2025/11/20 19:44,Student,Male,7,8,8,7,8,8
2025/11/20 19:45,Student,Female,6,8,8,6,9,8
2025/11/20 19:45,Student,Male,7,8,8,7,8,8
2025/11/20 19:51,Student,Male,7,8,8,7,8,8
2025/11/20 19:54,Student,Male,7,8,8,7,8,8
2025/11/20 20:07,Student,Male,7,8,8,7,8,8
2025/11/20 20:11,Student,Male,7,8,8,7,8,8
2025/11/20 20:22,Student,Female,6,8,8,6,9,8
2025/11/20 20:26,Non-Student,Female,7,8,9,6,9,7
2025/11/20 20:39,Student,Male,7,8,8,7,8,8
2025/11/20 20:45,Student,Male,7,8,8,7,8,8
2025/11/20 20:46,Student,Female,6,8,8,6,9,8
