no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,weather,temperature,tidal
0,02/01/2022 12:00:00 AM,"0150deb7d0,0024",577a4cd1eddc49b8cb4cb37cad1e8a4c23e5,澎湖七美莫咖啡 More Coffee,23.6344,119.5172,229801,19,1,多雲,23.8,2
1,02/01/2022 01:00:00 AM,"0150deb7d0,0157",5604d470854da4260575dedacbd85e76c0cb,澎湖七美莫咖啡 More Coffee,23.671,119.5746,220695,49,1,晴,24.1,1
2,02/01/2022 02:00:00 AM,"0150deb7d0,0384",630b64fe5bc6de3da0666d7f5fa44ac1f88f,離島出走 Isle Travel,23.664,119.5401,224169,43,1,晴,21.8,1
3,02/01/2022 03:00:00 AM,"0150deb7d0,0024",575f92791e33a54e431e527d578c256caa6a,撒野旅店 Say Yeah Inn,23.5664,119.5774,222904,35,1,晴,28.6,1
4,02/01/2022 04:00:00 AM,"0150deb7d0,0102",2e795538df2a0af64b3a526112f41c2379e9,鄭家莊｜澎湖七美民宿,23.5331,119.5662,228608,61,0,晴,28.6,1
5,02/01/2022 05:00:00 AM,"0150deb7d0,0112",40a0d3d39e18a5cae9ac0f141f06a1476ae4,澎湖七美莫咖啡 More Coffee,23.5077,119.5411,228768,23,1,晴,17.2,2
6,02/01/2022 06:00:00 AM,"0150deb7d0,0089",6202aa4ce40502cfc8afdf39955a5c979c09,撒野旅店 Say Yeah Inn,23.5353,119.5858,223560,35,0,風雨,25.4,2
7,02/01/2022 07:00:00 AM,"0150deb7d0,0112",1f686bd3b8534a8ca593258d4276842bea02,年年有鰆,23.683,119.5431,224185,47,0,風雨,20,1
8,02/01/2022 08:00:00 AM,"0150deb7d0,0112",5b56f4465d4d84dee5115237132f121c2e4c,鄭家莊｜澎湖七美民宿,23.5881,119.5762,227443,30,0,晴,30,1
9,02/01/2022 09:00:00 AM,"0150deb7d0,0112",6781bfebeb932bb483880b0b26ba7f1c66e7,年年有鰆,23.6304,119.5147,220360,62,0,晴,27.7,2
10,02/01/2022 10:00:00 AM,"0150deb7d0,0384",6857a61823e5506555dcab558bd05e186382,離島出走 Isle Travel,23.5867,119.5014,226609,59,1,晴,15.5,1
11,02/01/2022 11:00:00 AM,"0150deb7d0,0401",6382c551e4691c4c1fa3737c2f9253a36e13,鄭家莊｜澎湖七美民宿,23.5723,119.5265,226771,40,0,風雨,29.3,2
12,02/01/2022 12:00:00 PM,"0150deb7d0,0102",348ddb5a28ddcc94a3a8785095f58ea9707f,O2 Lab 海漂實驗室,23.5104,119.5407,229489,53,1,多雲,17.4,1
13,02/01/2022 01:00:00 PM,"0150deb7d0,0089",4c11666038515c395c0cdda440763c618f24,撒野旅店 Say Yeah Inn,23.6805,119.5651,225260,28,1,風雨,23.4,2
14,02/01/2022 02:00:00 PM,"0150deb7d0,0401",13baaba8473858490ab98a2d366e1976f2fc,鄭家莊｜澎湖七美民宿,23.591,119.5431,228754,31,1,晴,22.4,1
15,02/01/2022 03:00:00 PM,"0150deb7d0,0102",1f9dc4acdc9c008b7294dcaf37799c430725,鄭家莊｜澎湖七美民宿,23.6465,119.5622,220527,33,1,晴,25.1,1
16,02/01/2022 04:00:00 PM,"0150deb7d0,0102",534edacf591a45906fafe6675777df2ea8c3,南寮風車有機農場｜風島物產,23.5454,119.5816,220343,29,1,多雲,32.9,2
17,02/01/2022 05:00:00 PM,"0150deb7d0,0401",3995b36bb5824f39631ab751fdfec411078d,年年有鰆,23.6231,119.5291,228007,42,0,風雨,30.5,2
18,02/01/2022 06:00:00 PM,"0150deb7d0,0089",62f382740cd045650310150cfcfe5680d303,鄭家莊｜澎湖七美民宿,23.6346,119.5217,228351,25,0,晴,32.6,1
19,02/01/2022 07:00:00 PM,"0150deb7d0,0089",717ffbb413f2bd82ac26d17d22ac40558e8e,撒野旅店 Say Yeah Inn,23.661,119.5822,228811,72,1,晴,23.4,2
20,02/01/2022 08:00:00 PM,"0150deb7d0,0024",22710ccdf9b246193b9605418e75e949f4be,南寮風車有機農場｜風島物產,23.6115,119.5082,220533,18,0,晴,32.5,2
21,02/01/2022 09:00:00 PM,"0150deb7d0,0089",2409c169ca1003713b2a7d2ff5d2b49221e5,鄭家莊｜澎湖七美民宿,23.6731,119.5676,226303,34,0,風,17.6,2
22,02/01/2022 10:00:00 PM,"0150deb7d0,0384",1e475af98738e81eaf468f8288bd38db97f1,撒野旅店 Say Yeah Inn,23.5635,119.5824,225735,49,1,晴,28.7,2
23,02/01/2022 11:00:00 PM,"0150deb7d0,0102",63df1ed30577f2e8282fc914c2709aa2aef2,撒野旅店 Say Yeah Inn,23.5142,119.5147,226711,49,1,風雨,30.6,1
24,02/02/2022 12:00:00 AM,"0150deb7d0,0157",4b99d48a2cf15b55fe6e329e858a9cf4daa9,撒野旅店 Say Yeah Inn,23.6826,119.501,228236,46,0,多雲,17.6,1
25,02/02/2022 01:00:00 AM,"0150deb7d0,0384",2133406e380150de6d72b47ec43606d8c9fb,鄭家莊｜澎湖七美民宿,23.5617,119.5984,225828,47,1,晴,16.9,1
26,02/02/2022 02:00:00 AM,"0150deb7d0,0089",2b597335b0d754252b39e51bdef02c694b6b,澎湖七美莫咖啡 More Coffee,23.6815,119.5269,222902,20,1,多雲,15.5,2
27,02/02/2022 03:00:00 AM,"0150deb7d0,0089",2f4560b004d8718c271c373861584df1c1d0,年年有鰆,23.673,119.5561,227634,20,1,多雲,18.5,1
28,02/02/2022 04:00:00 AM,"0150deb7d0,0401",5e0d568b0e547350da13e07ad8c4c1f58d39,澎湖七美莫咖啡 More Coffee,23.5518,119.5313,228432,38,1,晴,16,1
29,02/02/2022 05:00:00 AM,"0150deb7d0,0024",6c8871d6ada6aeb982e3f75acc6a60464bec,撒野旅店 Say Yeah Inn,23.6138,119.5765,226296,28,1,風雨,29.6,2
30,02/02/2022 06:00:00 AM,"0150deb7d0,0157",48c564874c397dc6b9f0adf7489c86038b14,年年有鰆,23.6299,119.5578,223758,43,0,風雨,15.3,2
31,02/02/2022 07:00:00 AM,"0150deb7d0,0102",2a488fe9ed57b1655c265a63008ab7aa7169,澎湖七美莫咖啡 More Coffee,23.5961,119.5866,221962,63,0,風雨,24.2,1
32,02/02/2022 08:00:00 AM,"0150deb7d0,0089",43ef599c288f08a96630147fcb01be8a8f77,O2 Lab 海漂實驗室,23.5654,119.5553,221570,26,1,風雨,26.4,2
33,02/02/2022 09:00:00 AM,"0150deb7d0,0384",20351f48f8906d142db6e249f424024396b9,離島出走 Isle Travel,23.5859,119.5472,227352,72,1,多雲,25.1,1
34,02/02/2022 10:00:00 AM,"0150deb7d0,0157",1a8d4400a3803c005dbe9485de4ce3d2d0f6,澎湖七美莫咖啡 More Coffee,23.6719,119.5594,224568,30,0,多雲,26.5,2
35,02/02/2022 11:00:00 AM,"0150deb7d0,0024",341ac5892734dcac52987e5d3a4b18b1bd35,南寮風車有機農場｜風島物產,23.5769,119.544,223074,44,1,多雲,21.8,2
36,02/02/2022 12:00:00 PM,"0150deb7d0,0401",4524a66537125bce3ca1640b1857039d44a2,澎湖七美莫咖啡 More Coffee,23.6915,119.5817,221614,50,1,風雨,31.1,2
