hotel_name,latitude,longitude,url
日立大飯店,23.5664184,119.564597,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcIi2yJKw1sZ-1GKI0A6p3T4xK-RRJsR646h2LCmoLUYrcmnMp14_1BNWqMkB-U3QiiYWna-8shleu4oLcpAhi6fdJCJOFMb85DA7agdKbfICEShHK8I33qaCwRwoQnHca041SG1u2umsaUCWHmUEjedS3jPo65uss6lJ9sQMSqhw838&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
"平湖窩行旅 PH Hostel-旅館本身沒放房源給Agoda,請勿從Agoda下單",23.5667626,119.5670712,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcJKCK1wqOraMhnejAO2hP9j4RgbX0MShGXz8Kz1EicphTwnu8Yo7xRcGTcSTJZD3e_HqVv7Sb5dNIRclcE3dTCaY5xSKnLeeRJd5xWVPWkP6EPEsKnV237gnMtmDgqKLMiRGYuaQ3mv9FBrWlehFikF2ID1A4qKrpzWfxkDKWJG-Bct&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
澎湖灣行旅,23.5634679,119.5599525,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcJBOOBX6Tx5tis89mt2UaO56lRtcZTXQUGRarrmtqExWdPgOa_tWzIEQL-xcxUrZ3jjGV-xBPGpQpKCYCQgYaQwu-JaWD6ALE6EE3IsXZk8TFxvqIk-MN_vbDMayu1MG-ZlntVpHMoHd1szQo2UrNeG-2aAGI07A8FRwGKaCAA2O2YC&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
慶霖飯店,23.5656116,119.5655026,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcLwTeC_dYI8VEmvj617GTe-vKpXkY7uIPH1NfBuoWAo4Slg_kRiZH0C7oqHEUGElggvW_ZMiyMjZ7Goaa__tsL9o64NmGUNuFPfGNZOfzq2j970MqfFfLx5Mgh4xvHgbujxLafIm9wVt8mYJo48tzo9elkFcn5psBCCr0GGU7tjYFd3&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
起點旅行民宿 D.C. Inn はじまりのゲストハウス,23.5683147,119.5675467,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcJqg7RIJ6G0LEprFLFU6fd_4kz-P0HkFQ9jNCoIZHv3o-yASE3B1JNx8cLXp3Vy_ZH-Q-gL6ftZXlQ8_5pDR-7sWtZmzU15GmVCzy_BULa0Nvc-mtvCXfBYwn7q8L7Iu0Qb2fY-983Y051thDZDNkkLd9j5hwD8Fd6nKylTCNt43FfV&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
安一海景大飯店,23.5735873,119.5679894,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcIYFh4DdW2x_gCakwwtFuW3IJWF6gHP2huhOJmPok-xtEH1W-_8cb1G_BOtfMY3MRf9uj0hBPs9MljdNjrJrDhlUh2uZCiM0-0HQo5O7QHH97tz0qM8O3zcigaethFIx4Z6y1j8R2bR8nToiud3LWpi70_83qapudM2MB9I_HA6wbbE&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
勝國大飯店,23.5697712,119.5709627,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcIjSHHOduj-9IU2uW9UyYl_WswFeITq53tKkbBdxGITn1DdWLHRbi_g837CZWcUzyuZi0xeGhyE1Q8OcexQHBuiAqRtbdJuGY02mfEDAq_BBONHeBt2MfE_SVreUnpbStQLlmTovS7r2QNP5wfQEaYGHBtjT9q9XiDkhY9NnqQ1hrow&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
旅行者背包客棧,23.579338,119.5759277,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcLJyDPzOoR9rRPHemUwWp1q07g6tkx_9rAUx3apQLhJ-C5Dp27-wNh8u_qEv0m-OSmnOx7xWS_lQGJOtTdHSPEyiDjQ3uPXFCX4nAcL6FxxMyFaB4he5k3w3mGtoDuOmYMSPXNnlf5N89bGIee4whWs_pLCGg9TvsQI8WFPXArdHYAk&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
好美背包客 Nice Hostel,23.56490549999999,119.5665374,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcICiEqRNpVXjifeKJxm1hjqIYbdE8BfN8ly0915fyxqfkc-9KXbqbCI2m2ek-4yF_zSCFGWR_DZvCrJHIwBtWEudSg5BU1iIyYtjqBCs-6A_HtuqzpBv0bggjsqGR863G3w3w5AQnZMe8P_r8GinFmTLbhMpTNVs8VH634iCFRWJoKi&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
松鶴雅緻商務旅館,23.5687411,119.5758779,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcLvmElwtxqWQxcFYXiP4BekfIix2VBl4GQApEi1wt9RDcj-w7tow1t3AcvmrJP8waQWfNx1MFXHgVN9JXwSL5O3Gb2DTdQUlmDoE8Ws5wmKzB19WJIRbXeU4J5y-Ccw1u5Y5bbqHuT6nVvOu7-6TJtF429wCBjmPWTqK0Ly3eH1wUFP&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
