no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,天氣,place_id
1619,2022/2/5 13:20,"0150deb7d0,0336",Ud12b72cb97ad69f841efe9b974ffdbe1,品川元麻辣串串,23.56319,119.59046,236088,54,0,陰風 ,ChIJi_fZp1BbbDQRecqDI2NU4Yw
1736,2022/2/6 18:59,"0150deb7d0,0024",Ud12b72cb97ad69f841efe9b974ffdbe1,澎漁宴餐廳,23.56625705,119.5690162,239566,54,0,風,ChIJV0nO1f1bbDQRoPL9XWhn6vU
2215,2022/3/11 11:23,"0150deb7d0,0054",Ud12b72cb97ad69f841efe9b974ffdbe1,北寮奎壁山,23.5969773,119.6713825,341312,54,0,晴,ChIJhWgytnJEbDQR420Ap52ceMw
2287,2022/3/12 15:11,"0150deb7d0,0038",Ud12b72cb97ad69f841efe9b974ffdbe1,石滬廣場站,23.56312198,119.5648365,345411,54,0,晴,ChIJT6bv8YxabDQRDJJkLTdthb4
3146,2022/3/25 21:15,"0150deb7d0,0328",Ud12b72cb97ad69f841efe9b974ffdbe1,瑞師父海菜煎餅,23.56579,119.56542,385954,54,0,陰,ChIJPSvBJfNabDQR38pPWb1IbtI
3162,2022/3/26 16:57,"0150deb7d0,0199",Ud12b72cb97ad69f841efe9b974ffdbe1,麗洋手作蛋糕,23.56431,119.56464,388110,54,0,多雲轉小雨,ChIJK8LlxoxabDQR9PAJ71QRSMQ
3172,2022/3/26 18:19,"0150deb7d0,0132",Ud12b72cb97ad69f841efe9b974ffdbe1,花菜幹,23.5644309,119.5867029,388502,54,0,多雲轉小雨,ChIJl_5mhPJabDQRPI74IY5U-CU
3194,2022/3/26 21:23,"0150deb7d0,0040",Ud12b72cb97ad69f841efe9b974ffdbe1,自由塔,23.56993769,119.5713121,389002,54,0,多雲轉小雨,ChIJlzQ-Y-5abDQResCI8cBJOb8
4168,2022/4/15 10:32,"0150deb7d0,0298",Ud12b72cb97ad69f841efe9b974ffdbe1,小蘑菇義大利麵,23.56716,119.56465,444592,54,0,風,ChIJtfUdXa4faDQRNPDrzKHbw7A
4208,2022/4/15 09:53,"0150deb7d0,0288",Ud12b72cb97ad69f841efe9b974ffdbe1,皮克吐司,23.56714,119.56467,444489,54,0,風,ChIJfy1XEvNabDQRLPp4rFjEXdQ
4212,2022/4/16 13:17,"0150deb7d0,0179",Ud12b72cb97ad69f841efe9b974ffdbe1,祥馨鮮鮮果舖,23.57336,119.57256,447764,54,0,風,ChIJ00QLKRJbbDQRwD2GYkNXlMI
4786,2022/4/3 18:51,"0150deb7d0,0401",Ud12b72cb97ad69f841efe9b974ffdbe1,駱哥港式點心,23.56584,119.56856,411810,54,0,陰風,ChIJswnQYe1abDQRm0FvaJaVxp4
4832,2022/4/4 11:54,"0150deb7d0,0202",Ud12b72cb97ad69f841efe9b974ffdbe1,原豆工坊咖啡專賣店,23.56409,119.56508,413297,54,0,風,ChIJzV38LvNabDQRGh1qBJwaVC0
4856,2022/4/4 18:23,"0150deb7d0,0291",Ud12b72cb97ad69f841efe9b974ffdbe1,天津蔥抓餅,23.57431,119.5792,414324,54,0,風,ChIJQzBnhYWpQjQR7Vr5CPt4quk
579,2022/2/16 14:36,"0150deb7d0,0177",U5fd8a6c36b2a2370bb0184a98f40b911,夏天茶飲,23.57184,119.57075,268080,47,0,陰風 ,ChIJN9-vTe5abDQRt5TDf4_F5kU
671,2022/2/17 21:35,"0150deb7d0,0329",U5fd8a6c36b2a2370bb0184a98f40b911,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,273123,47,0,風,ChIJT0S2eeVdbDQRKwaZerDk1zI
1198,2022/2/24 14:39,"0150deb7d0,0328",U5fd8a6c36b2a2370bb0184a98f40b911,瑞師父海菜煎餅,23.56579,119.56542,293847,47,0,風,ChIJPSvBJfNabDQR38pPWb1IbtI
1265,2022/2/25 15:11,"0150deb7d0,0395",U5fd8a6c36b2a2370bb0184a98f40b911,大口香雞排,23.56719,119.56471,297214,47,0,陰風 ,ChIJq6qqqueFbjQRH-YHnzcEI0Q
1551,2022/2/3 21:52,"0150deb7d0,0024",U5fd8a6c36b2a2370bb0184a98f40b911,澎漁宴餐廳,23.56625705,119.5690162,232325,47,0,風轉小雨,ChIJV0nO1f1bbDQRoPL9XWhn6vU
1618,2022/2/4 21:56,"0150deb7d0,0016",U5fd8a6c36b2a2370bb0184a98f40b911,海島海產大賣場,23.56576883,119.5655136,235050,47,0,風,ChIJBRjMKPNabDQRzIM5o7k1v9s
4540,2022/4/23 23:23,"0150deb7d0,0295",U5fd8a6c36b2a2370bb0184a98f40b911,獨領風騷,23.56815,119.56751,467254,47,0,多雲晴,ChIJq_Fhd2ipQjQRmwksF_0508U
4560,2022/4/24 22:59,"0150deb7d0,0401",U5fd8a6c36b2a2370bb0184a98f40b911,駱哥港式點心,23.56584,119.56856,469338,47,0,晴,ChIJswnQYe1abDQRm0FvaJaVxp4
449,2022/2/15 13:39,"0150deb7d0,0040",U16f92b0df914c40495c60e84bf79adba,自由塔,23.56993769,119.5713121,264883,40,0,陰風 ,ChIJlzQ-Y-5abDQResCI8cBJOb8
493,2022/2/15 16:16,"0150deb7d0,0371",U16f92b0df914c40495c60e84bf79adba,阿鳳牛肉河粉,23.57142,119.57239,265450,40,0,陰風 ,ChIJjb-f_e5abDQRjlx7oCHlPoM
511,2022/2/15 18:49,"0150deb7d0,0266",U16f92b0df914c40495c60e84bf79adba,外垵福氣刈包,23.56469,119.47946,265903,40,0,陰風 ,ChIJubLqyOBZbDQR3lTEi3Sv1VM
584,2022/2/16 15:51,"0150deb7d0,0329",U16f92b0df914c40495c60e84bf79adba,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,268401,40,0,陰風 ,ChIJT0S2eeVdbDQRKwaZerDk1zI
2719,2022/3/18 08:31,"0150deb7d0,0441",U16f92b0df914c40495c60e84bf79adba,本家食堂日式料理,23.57544,119.57445,362518,40,0,陰,ChIJb2-h3-VabDQR4qu44KW2AtA
2720,2022/3/18 08:32,"0150deb7d0,0197",U16f92b0df914c40495c60e84bf79adba,嚐香聚牛肉麵,23.57425,119.57308,362521,40,0,陰,ChIJN2ZU9eVabDQR_34Xh_UFy-8
2751,2022/3/19 17:56,"0150deb7d0,0168",U16f92b0df914c40495c60e84bf79adba,小正傢私店,23.56467,119.56484,367192,40,0,多雲風,ChIJW-BRwW1bbDQR2-V1wKXXvYQ
3990,2022/4/10 08:42,"0150deb7d0,0386",U16f92b0df914c40495c60e84bf79adba,四季肉圓專賣店,23.57334,119.57233,429529,40,0,多雲,ChIJzdsuPL5bbDQRIAxOSvwLpO0
4024,2022/4/11 08:10,"0150deb7d0,0336",U16f92b0df914c40495c60e84bf79adba,品川元麻辣串串,23.56319,119.59046,432368,40,0,多雲,ChIJi_fZp1BbbDQRecqDI2NU4Yw
4027,2022/4/11 08:28,"0150deb7d0,0215",U16f92b0df914c40495c60e84bf79adba,阿力香雞排-文山店,23.56285,119.58517,432394,40,0,多雲,ChIJXSHM-hc3aDQRXT97-c0A_nM
937,2022/2/21 11:17,"0150deb7d0,0177",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,夏天茶飲,23.57184,119.57075,283439,58,1,雨,ChIJN9-vTe5abDQRt5TDf4_F5kU
972,2022/2/21 17:48,"0150deb7d0,0024",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,澎漁宴餐廳,23.56625705,119.5690162,284995,58,1,雨,ChIJV0nO1f1bbDQRoPL9XWhn6vU
985,2022/2/21 18:58,"0150deb7d0,0040",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,自由塔,23.56993769,119.5713121,285321,58,1,雨,ChIJlzQ-Y-5abDQResCI8cBJOb8
987,2022/2/21 19:14,"0150deb7d0,0196",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,馬路益燒肉飯,23.56596,119.56523,285369,58,1,雨,ChIJNYUKJ8JabDQRiiRUWUOsJlM
1077,2022/2/22 20:59,"0150deb7d0,0066",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,北海道海產專賣店,23.56637,119.56886,289158,58,1,雨,ChIJI_0vfe1abDQRRaggHe2FpWQ
1350,2022/2/27 22:55,"0150deb7d0,0236",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,菊楓食堂日式料理,23.57538,119.58058,305296,58,1,陰風 ,ChIJ2_jZgd1abDQRFayuSHiw_Nc
1385,2022/2/27 18:25,"0150deb7d0,0324",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,榕徽嬤?吃吃喝喝,23.56909,119.59924,304333,58,1,陰風 ,ChIJE4pb6z5bbDQR5G6BkO2_eSE
1471,2022/2/28 18:48,"0150deb7d0,0175",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57102,307785,58,1,晴多雲,ChIJXeQ0NtZbbDQRvYutJi9-Cyk
1473,2022/2/28 18:55,"0150deb7d0,0395",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,大口香雞排,23.56719,119.56471,307816,58,1,晴多雲,ChIJq6qqqueFbjQRH-YHnzcEI0Q
1474,2022/2/28 18:57,"0150deb7d0,0288",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,皮克吐司,23.56714,119.56467,307822,58,1,晴多雲,ChIJfy1XEvNabDQRLPp4rFjEXdQ
1489,2022/2/28 20:36,"0150deb7d0,0292",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,Mr.大雞,23.57226,119.57626,308240,58,1,晴多雲,ChIJtTuEYKlbbDQRqiQ8EFcGZwA
1541,2022/2/3 19:40,"0150deb7d0,0072",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,日香美食坊歡迎您～,23.57466,119.5768,231996,58,1,風轉小雨,ChIJTaiZN-ZabDQRsy1PWLxaE5I
1592,2022/2/4 16:10,"0150deb7d0,0281",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,霸味薑母鴨,23.5705,119.57567,234055,58,1,風,ChIJB91AEXAkaDQRSkRbw7tr4ZM
1595,2022/2/4 16:31,"0150deb7d0,0298",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,小蘑菇義大利麵,23.56716,119.56465,234123,58,1,風,ChIJtfUdXa4faDQRNPDrzKHbw7A
1598,2022/2/4 16:42,"0150deb7d0,0144",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,小小間,23.57003,119.56901,234162,58,1,風,ChIJfaHxGu5abDQR_LWiiTnY7QE
1599,2022/2/4 16:44,"0150deb7d0,0160",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,海玩子雞蛋糕,23.56997,119.56894,234169,58,1,風,ChIJfRyEck1bbDQRW1v231YeUP8
1859,2022/2/7 09:14,"0150deb7d0,0371",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,阿鳳牛肉河粉,23.57142,119.57239,240370,58,1,雨,ChIJjb-f_e5abDQRjlx7oCHlPoM
1911,2022/2/8 17:54,"0150deb7d0,0250",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,最愛小米甜甜圈,23.58469,119.66216,245111,58,1,風,ChIJOUsN5O5FbDQRAC21LD6slVc
