no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,weather,temperature,tidal
0,2/1/2022 1:07:51 PM,"0150deb7d0,0089",Ud12b72cb97ad69f841efe9b974ffdbe1,吳家小館,23.63269,119.59865,226186,54,0,風雨,10.5,2
1,2/1/2022 1:19:12 PM,"0150deb7d0,0340",Ua3e61aaf987823389bb9e5792db3b17d,某個角落,23.56492,119.56492,226211,22,1,風雨,10.5,2
2,2/1/2022 1:29:49 PM,"0150deb7d0,0102",U5fd8a6c36b2a2370bb0184a98f40b911,清心飲食店,23.600179999999998,119.50975,226243,47,0,風雨,10.5,2
4,2/1/2022 1:42:42 PM,"0150deb7d0,0171",U5bd82e43dc73309eeb6907f4289db0b1,蒙地卡羅咖啡館,23.56733,119.56683000000001,226267,79,1,風雨,10.5,2
5,2/1/2022 1:44:04 AM,"0150deb7d0,0112",U16f92b0df914c40495c60e84bf79adba,劉正港檸檬汁-中華店,23.572039999999998,119.57574,225183,40,0,風雨,10.5,1
6,2/1/2022 1:44:21 AM,"0150deb7d0,0112",U715df1e900eb20c8a489602d1d2ea5cc,劉正港檸檬汁-中華店,23.572039999999998,119.57574,225185,76,1,風雨,10.5,1
8,2/1/2022 1:57:01 PM,"0150deb7d0,0237",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,振發食品行,23.56413,119.5642,226301,58,1,風雨,10.5,1
9,2/1/2022 10:01:09 PM,"0150deb7d0,0384",U0d5a39ecd31b0b2b63f941e2d03cb796,葉子的店,23.574289999999998,119.57824,227469,67,0,風雨,10.5,2
13,2/1/2022 10:36:26 PM,"0150deb7d0,0401",U58001d9adfe8f94262b41bcaf841093b,駱哥港式點心,23.565839999999998,119.56856,227536,73,0,風雨,10.5,2
14,2/1/2022 10:39:07 PM,"0150deb7d0,0157",Uc6ca45181f84f93c8037448e8d1945cd,鮮食堂海鮮蒸鍋,23.56566,119.56461999999999,227541,59,0,風雨,10.5,2
19,2/1/2022 11:28:45 PM,"0150deb7d0,0024",U3c29e39a18fb2239afcf1a9ce5da3d09,澎漁宴餐廳,23.56625705,119.56901620000001,227606,80,0,風雨,10.5,2
20,2/1/2022 11:30:33 AM,"0150deb7d0,0187",Uf4a9fa99caa0a39087a140f14921328b,雨軒冰茶,23.58504,119.65937,225899,47,1,風雨,10.5,2
23,2/1/2022 11:52:44 AM,"0150deb7d0,0360",U3bc29efa4e459e4802139b075e9574e8,芳遠水果行,23.567510000000002,119.56721,225938,63,1,風雨,10.5,2
24,2/1/2022 11:55:39 AM,"0150deb7d0,0328",Ud396de5c092143ad087e50d3fbcd042d,瑞師父海菜煎餅,23.56579,119.56541999999999,225947,24,1,風雨,10.5,2
26,2/1/2022 12:01:57 AM,"0150deb7d0,0175",U9572c40e3c203b07c0391eaf8b27a9d4,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57101999999999,225072,56,1,風雨,10.5,2
28,2/1/2022 12:06:32 AM,"0150deb7d0,0069",U1533b24c18a3e1f1479bdb79969431d9,岩田丼屋歡迎您！,23.57708,119.57257,225079,67,1,風雨,10.5,2
30,2/1/2022 12:07:03 AM,"0150deb7d0,0033",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,澎福食品行,23.58479347,119.6631239,225080,58,1,風雨,10.5,2
31,2/1/2022 12:07:34 PM,"0150deb7d0,0028",U70e839055608596fa7b05aefe69821e3,富勝食品企業行,23.54909,119.61928999999999,225984,29,1,風雨,10.5,2
32,2/1/2022 12:09:13 AM,"0150deb7d0,0240",U7f3b78bc013a2e7bb853218f9817e79c,文化路蔥油餅,23.56825,119.56753,225081,23,0,風雨,10.5,2
34,2/1/2022 12:13:20 AM,"0150deb7d0,0295",U7f3b78bc013a2e7bb853218f9817e79c,獨領風騷,23.56815,119.56751000000001,225085,23,0,風雨,10.5,2
35,2/1/2022 12:19:21 AM,"0150deb7d0,0291",U3bc29efa4e459e4802139b075e9574e8,天津蔥抓餅,23.57431,119.5792,225092,63,1,風雨,10.5,2
36,2/1/2022 12:20:27 AM,"0150deb7d0,0177",U8eb2e7fe550a6d1e4a1519e405d3c917,夏天茶飲,23.571839999999998,119.57075,225094,18,1,風雨,10.5,2
37,2/1/2022 12:21:04 AM,"0150deb7d0,0335",Uaae89b5752af1bf17f87d9cf02d03e41,外婆麵猴,23.57246,119.57467,225095,54,0,風雨,10.5,2
