no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,weather,temperature,tidal
0,02/01/2022 12:00:00 AM,"0150deb7d0,0102",31e0337b16fb86910ae887c41c1fc6ba00be,南寮風車有機農場｜風島物產,23.5346,119.5744,224153,34,0,晴,24.3,2
1,02/01/2022 01:00:00 AM,"0150deb7d0,0157",183fe5908bf09608161884f46531ee8bff4e,鄭家莊｜澎湖七美民宿,23.5815,119.5402,222675,31,1,晴,27.3,1
2,02/01/2022 02:00:00 AM,"0150deb7d0,0024",16d8457956622660dd8c14ad36f716937a09,O2 Lab 海漂實驗室,23.6089,119.5672,227900,51,0,晴,22.3,1
3,02/01/2022 03:00:00 AM,"0150deb7d0,0089",ecffb3d2141581cb1cbbc0c851baeb273bd,年年有鰆,23.5122,119.5876,228300,68,1,風雨,27.9,2
4,02/01/2022 04:00:00 AM,"0150deb7d0,0384",594a6681f8b1e923f9b5a615f7a7c4c1f700,離島出走 Isle Travel,23.5718,119.5981,220609,57,1,風雨,19.6,1
5,02/01/2022 05:00:00 AM,"0150deb7d0,0401",18a3bf5ba860385543b51fabd2fb7407ce54,撒野旅店 Say Yeah Inn,23.626,119.5653,229691,71,0,多雲,22.1,1
6,02/01/2022 06:00:00 AM,"0150deb7d0,0089",145f6260423eac28905421373e73fb644b3e,鄭家莊｜澎湖七美民宿,23.5064,119.5972,226756,20,0,風雨,25.6,2
7,02/01/2022 07:00:00 AM,"0150deb7d0,0384",13bb1d3c8f13c5365981e9bdea049cf95c25,撒野旅店 Say Yeah Inn,23.599,119.5765,228701,50,1,風雨,20.7,1
8,02/01/2022 08:00:00 AM,"0150deb7d0,0089",4e674b05f60e8faa87c116a2cc47bebae94c,O2 Lab 海漂實驗室,23.6919,119.552,229089,18,1,風雨,15.3,1
9,02/01/2022 09:00:00 AM,"0150deb7d0,0089",3f63e8dd59dbe5c553f13bd7ad92b6e6ecd2,鄭家莊｜澎湖七美民宿,23.5373,119.5429,229393,62,0,多雲,19.1,2
10,02/01/2022 10:00:00 AM,"0150deb7d0,0157",4e39eabc8aad9dcb3504b8d37d8df11394b4,年年有鰆,23.647,119.5304,229909,75,1,多雲,24.9,2
11,02/01/2022 11:00:00 AM,"0150deb7d0,0401",226121c790d2afef1c44a5d07a3cdbaeec3b,撒野旅店 Say Yeah Inn,23.5942,119.5409,228335,69,0,晴,32.5,1
