no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,天氣
1619,2022/2/5 13:20,"0150deb7d0,0336",Ud12b72cb97ad69f841efe9b974ffdbe1,品川元麻辣火鍋,23.56319,119.59046,236088,54,0,陰風 
1736,2022/2/6 18:59,"0150deb7d0,0024",Ud12b72cb97ad69f841efe9b974ffdbe1,澎漁宴餐廳,23.56625705,119.5690162,239566,54,0,風
2215,2022/3/11 11:23,"0150deb7d0,0054",Ud12b72cb97ad69f841efe9b974ffdbe1,北寮奎壁山,23.5969773,119.6713825,341312,54,0,晴
2287,2022/3/12 15:11,"0150deb7d0,0038",Ud12b72cb97ad69f841efe9b974ffdbe1,石滬廣場站,23.56312198,119.5648365,345411,54,0,晴
3146,2022/3/25 21:15,"0150deb7d0,0328",Ud12b72cb97ad69f841efe9b974ffdbe1,瑞師父海菜煎餅,23.56579,119.56542,385954,54,0,陰
3162,2022/3/26 16:57,"0150deb7d0,0199",Ud12b72cb97ad69f841efe9b974ffdbe1,麗洋手作蛋糕,23.56431,119.56464,388110,54,0,多雲轉小雨
3172,2022/3/26 18:19,"0150deb7d0,0132",Ud12b72cb97ad69f841efe9b974ffdbe1,花菜幹,23.5644309,119.5867029,388502,54,0,多雲轉小雨
3194,2022/3/26 21:23,"0150deb7d0,0040",Ud12b72cb97ad69f841efe9b974ffdbe1,自由塔,23.56993769,119.5713121,389002,54,0,多雲轉小雨
4168,2022/4/15 10:32,"0150deb7d0,0298",Ud12b72cb97ad69f841efe9b974ffdbe1,小蘑菇義大利麵,23.56716,119.56465,444592,54,0,風
4208,2022/4/15 09:53,"0150deb7d0,0288",Ud12b72cb97ad69f841efe9b974ffdbe1,皮克吐司,23.56714,119.56467,444489,54,0,風
4212,2022/4/16 13:17,"0150deb7d0,0179",Ud12b72cb97ad69f841efe9b974ffdbe1,祥馨鮮鮮果舖,23.57336,119.57256,447764,54,0,風
4786,2022/4/3 18:51,"0150deb7d0,0401",Ud12b72cb97ad69f841efe9b974ffdbe1,駱哥港式點心,23.56584,119.56856,411810,54,0,陰風
4832,2022/4/4 11:54,"0150deb7d0,0202",Ud12b72cb97ad69f841efe9b974ffdbe1,原豆工坊咖啡專賣店,23.56409,119.56508,413297,54,0,風
4856,2022/4/4 18:23,"0150deb7d0,0291",Ud12b72cb97ad69f841efe9b974ffdbe1,天津蔥抓餅,23.57431,119.5792,414324,54,0,風
579,2022/2/16 14:36,"0150deb7d0,0177",U5fd8a6c36b2a2370bb0184a98f40b911,夏天茶飲,23.57184,119.57075,268080,47,0,陰風 
671,2022/2/17 21:35,"0150deb7d0,0329",U5fd8a6c36b2a2370bb0184a98f40b911,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,273123,47,0,風
1198,2022/2/24 14:39,"0150deb7d0,0328",U5fd8a6c36b2a2370bb0184a98f40b911,瑞師父海菜煎餅,23.56579,119.56542,293847,47,0,風
1265,2022/2/25 15:11,"0150deb7d0,0395",U5fd8a6c36b2a2370bb0184a98f40b911,大口香雞排,23.56719,119.56471,297214,47,0,陰風 
1551,2022/2/3 21:52,"0150deb7d0,0024",U5fd8a6c36b2a2370bb0184a98f40b911,澎漁宴餐廳,23.56625705,119.5690162,232325,47,0,風轉小雨
1618,2022/2/4 21:56,"0150deb7d0,0016",U5fd8a6c36b2a2370bb0184a98f40b911,海島海產大賣場,23.56576883,119.5655136,235050,47,0,風
4540,2022/4/23 23:23,"0150deb7d0,0295",U5fd8a6c36b2a2370bb0184a98f40b911,獨領風騷,23.56815,119.56751,467254,47,0,多雲晴
4560,2022/4/24 22:59,"0150deb7d0,0401",U5fd8a6c36b2a2370bb0184a98f40b911,駱哥港式點心,23.56584,119.56856,469338,47,0,晴
449,2022/2/15 13:39,"0150deb7d0,0040",U16f92b0df914c40495c60e84bf79adba,自由塔,23.56993769,119.5713121,264883,40,0,陰風 
493,2022/2/15 16:16,"0150deb7d0,0371",U16f92b0df914c40495c60e84bf79adba,阿鳳牛肉河粉,23.57142,119.57239,265450,40,0,陰風 
511,2022/2/15 18:49,"0150deb7d0,0266",U16f92b0df914c40495c60e84bf79adba,外垵福氣刈包,23.56469,119.47946,265903,40,0,陰風 
584,2022/2/16 15:51,"0150deb7d0,0329",U16f92b0df914c40495c60e84bf79adba,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,268401,40,0,陰風 
2719,2022/3/18 08:31,"0150deb7d0,0441",U16f92b0df914c40495c60e84bf79adba,本家食堂日式料理,23.57544,119.57445,362518,40,0,陰
2720,2022/3/18 08:32,"0150deb7d0,0197",U16f92b0df914c40495c60e84bf79adba,嚐香聚牛肉麵,23.57425,119.57308,362521,40,0,陰
