no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,天氣,place_id
449,2022/2/15 13:39,"0150deb7d0,0040",U16f92b0df914c40495c60e84bf79adba,自由塔,23.56993769,119.5713121,264883,40,0,陰風 ,ChIJlzQ-Y-5abDQResCI8cBJOb8
493,2022/2/15 16:16,"0150deb7d0,0371",U16f92b0df914c40495c60e84bf79adba,阿鳳牛肉河粉,23.57142,119.57239,265450,40,0,陰風 ,ChIJjb-f_e5abDQRjlx7oCHlPoM
511,2022/2/15 18:49,"0150deb7d0,0266",U16f92b0df914c40495c60e84bf79adba,外垵福氣刈包,23.56469,119.47946,265903,40,0,陰風 ,ChIJubLqyOBZbDQR3lTEi3Sv1VM
584,2022/2/16 15:51,"0150deb7d0,0329",U16f92b0df914c40495c60e84bf79adba,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,268401,40,0,陰風 ,ChIJT0S2eeVdbDQRKwaZerDk1zI
2719,2022/3/18 08:31,"0150deb7d0,0441",U16f92b0df914c40495c60e84bf79adba,本家食堂日式料理,23.57544,119.57445,362518,40,0,陰,ChIJb2-h3-VabDQR4qu44KW2AtA
2720,2022/3/18 08:32,"0150deb7d0,0197",U16f92b0df914c40495c60e84bf79adba,嚐香聚牛肉麵,23.57425,119.57308,362521,40,0,陰,ChIJN2ZU9eVabDQR_34Xh_UFy-8
2751,2022/3/19 17:56,"0150deb7d0,0168",U16f92b0df914c40495c60e84bf79adba,小正傢私店,23.56467,119.56484,367192,40,0,多雲風,ChIJW-BRwW1bbDQR2-V1wKXXvYQ
3990,2022/4/10 08:42,"0150deb7d0,0386",U16f92b0df914c40495c60e84bf79adba,四季肉圓專賣店,23.57334,119.57233,429529,40,0,多雲,ChIJzdsuPL5bbDQRIAxOSvwLpO0
4024,2022/4/11 08:10,"0150deb7d0,0336",U16f92b0df914c40495c60e84bf79adba,品川元麻辣串串,23.56319,119.59046,432368,40,0,多雲,ChIJi_fZp1BbbDQRecqDI2NU4Yw
4027,2022/4/11 08:28,"0150deb7d0,0215",U16f92b0df914c40495c60e84bf79adba,阿力香雞排-文山店,23.56285,119.58517,432394,40,0,多雲,ChIJXSHM-hc3aDQRXT97-c0A_nM
