name,price_level,rating,img_url,location,place_id,map_url
麗詩旅海景民宿-2025澎湖馬公花火節民宿住宿 無敵海景 商圈市區商旅住宿 團體,N/A,5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATKogpdWuy-laOirk2XxeehzMjkHCJ7uspjaMMXofnDpzlrU6GFGtjyrpeXT5hEQYtumGPIUAiRmq0N0AlG9j7XuCphZy3i4ofcjOiDsNBnvbQ23p6J7e5F9TQYlj8r0rwkTGhlj02wGAt_jPpG5Miks48prKQz_tc7m06_pmRsh6boTCQnckRSkC9innhvyFqrPc5uYwnzMSma5efNmhjnfILP1oK397qeTo6ju_GnbH0XlOLTUjj_S1YNIJUzkcDkBjV-5y-HdLBMgjbRFVNbld5NxhtFU073-tC_9igLBEF1XxRUUY1GQtvQPrVy5L_4IvBsRF4Br7Dk&key=AIzaSyCtQ3VXDHwScJxudQOPcElVY3YMAmHR124,"{'lat': 23.5629097, 'lng': 119.5653528}",ChIJ4VnKMtFbbDQRl87rdzCoZAk,https://www.google.com/maps/place/?q=place_id:ChIJ4VnKMtFbbDQRl87rdzCoZAk
木子寓所,N/A,5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATKogpdlCtVj9HXtID2v8yRkwebef-0d7T512ME66B8I37vUzAbnd9Gb3pQmg5EUROS2qbUYkzF6NPU0gJc_70IpGEYepC3rUB3JA_EcaJJtpvUV6dQmUQpsTEusIT_maMv986sy5QWHXQ_ayR9qKOEWLIL8eQ1Tplh099EksJQOK3jsYMfFkZdW4kjs1oBdjOr_1304dNGrTX3Bb9hs183YT2WipEzfAZw2C5sFKwX6d97kHOTJu5OppvrKYp9H7-3oOiTYWYmCgLZL00ahtn7nJdIBj4wR0OFuKBSa_KrkRS1bC_LRqJXDwLOnKXQ-tTLYhtKDJFo7Soc&key=AIzaSyCtQ3VXDHwScJxudQOPcElVY3YMAmHR124,"{'lat': 23.5824137, 'lng': 119.5785118}",ChIJazX4GABbbDQRTYJl4H1xZTE,https://www.google.com/maps/place/?q=place_id:ChIJazX4GABbbDQRTYJl4H1xZTE
芸樂行旅,N/A,5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATKogpddTbrFBn_5b2zYLqzCPPHF3VVXlOrtVlTdDe3lLSmRSFtNIvIE7WkZCZz08MdgFxu0Pgc1qRl2WnGMB30ZH2cJIQgFhpNi9Im0dOZ5h5dsMxyeflTIIfgWVYGmht6XKkU2Z30fbeavs62N5F4L2rFezeY8f1pmpJh1ZwqA5qLF3ds0bfpLRpQBkCFO3OjEtYf-0OBqEoSPRh0TmtiXy_JRibB0xg_hUe9PlGOW3jsPd2Rhl9aUjpskViliyjMkM_m3dENP7Cp_vP5_W24P-R3o-8jwk1d2Hhj7tE5-TZF7iKQjZUq2gvSUET7Wo-qL_pb0Ui4JxiM&key=AIzaSyCtQ3VXDHwScJxudQOPcElVY3YMAmHR124,"{'lat': 23.5775265, 'lng': 119.583349}",ChIJLW-Wj0JbbDQRKyoNMYpCXnw,https://www.google.com/maps/place/?q=place_id:ChIJLW-Wj0JbbDQRKyoNMYpCXnw
佳宏馥居民宿,N/A,4.9,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATKogpc-BJizeE9o9QHmd0rPYZ5xsOj6GpIIukz1S-iTQGcIDGuOkucgbY0J9zWyWLKUyJauLK9A78vkMYrcYMHiEzQiGC-Rsz3weI9isxd42MVjG9EUKK15fwYFzGipr7hiGOsqhe3-CNJKVtj_Hx8fKx_PGDdjrjNZFYOPF9DZOx9cfv0oDnBM5myuc4cLDfMwvsdor0rFbU-X-T4Ce_DUGNuq8vMB8SJODSH-8k8l3Z5S5TRQwZERiQqfTmaGnvZesbn6xHViM8aApQbced6mlrY6i5hv26HZ3qqA_TH8k5vJDWYwIxU7LEgrpHuShgcZ0VPMjMajuZw&key=AIzaSyCtQ3VXDHwScJxudQOPcElVY3YMAmHR124,"{'lat': 23.5840689, 'lng': 119.578136}",ChIJy9sKJ05bbDQRsvqGZMP7uBk,https://www.google.com/maps/place/?q=place_id:ChIJy9sKJ05bbDQRsvqGZMP7uBk
澎湖晴海會館,N/A,4.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATKogpe9mnPTmbr8W3ORUmoVHpU3h_OccvYC-GT4on7lmF2oObb5T3pFDM8uLNjNmOOVie7GsMArdjyQ5IcJ2MD1dczsMpWstQ6LrE-YfinBd5gwfOdy4kDTlVsM3QisyOeB7uQfoI2gC7E1XxipuC_H6zZsiqtM5wMZCBhWEME_i-83NYyJzS0lt5vIca3plioR8I3uHHWsMsMpmqn4BOQU4OGcg4h2kMgEV5AUjxdSQsotMKQ5CfOx3jBALpS0gVIUUXsjBrD_bhV1fPqjEEhx9uqRVZ2q1BunjjG7J_i3KSioR1xRBCHYWWJUzDu4YmBnwiauBJanbkE&key=AIzaSyCtQ3VXDHwScJxudQOPcElVY3YMAmHR124,"{'lat': 23.5774206, 'lng': 119.576816}",ChIJOcZeFA5bbDQRwz2-B-YR4XQ,https://www.google.com/maps/place/?q=place_id:ChIJOcZeFA5bbDQRwz2-B-YR4XQ
白日夢海景民宿,N/A,4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATKogpcg5FBh2fMoLlPZ1ZgnuSs0jRcXa3_vBKnBNrOpaTNy_aYVvdSP7IKr_DzD5lJu4xYzzgUaNHSSDKOhVFLztERYPDeyH0HO4CiD5vvp-GbtI4Zh3Actr3LhUvifJDPyEqs9oH_nS2yLTys4kfytlDxGBd5mJF4_6QUHeALKcdHULHcJlSuWTjk4Lstn3XfRd6iZWd3NIzFGDBlge_Fclnk7FzYJbv_RgQ_ciXFJPqdSKogPv7HA0o25q2gPw8vFCQ-j2CVavzn-MIwKRmwmSkRK71VQmj9mOH7wu1Du6rVqvu4coN7NJxvN2fT7aLsqR8QY18DqhGc&key=AIzaSyCtQ3VXDHwScJxudQOPcElVY3YMAmHR124,"{'lat': 23.5744925, 'lng': 119.5680545}",ChIJUVJhdu9abDQR-evR3VRy0k4,https://www.google.com/maps/place/?q=place_id:ChIJUVJhdu9abDQR-evR3VRy0k4
旅行者背包客棧,N/A,4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATKogpcwOYtmJ6y1aK08ajCvq5rjVJ3Ke2HO_HcKXzGcDezpmDyEqist9m5Xpw5De2Cbbr2nzvDwg2Lfqleyo_SqNYnR3LMRSZ5MtPiO0dykDrbY9FvHNmtElVERq2vAAKZK3vcKxu27sKeqDXks9S28SObgVCUcX2Oj4GwXkBUaS28o1Un3gMr1f26ZDSew7m_PVZ842MdUi7hCGikAE1NY4dG_dWrnRzyjarRRQ_zHm-Mc7knTKXtx0XvcnsAifA5txdUD3SVrwREr8d9-FbFPtmT49efPqmpT-K4zCzDL1tOAH-E8Y-VllfHOlvE50xQL_1U6ET41GbX5Cy9delih9KMw0gciXs5-KTjOkIQMJFnEcN4PYSWwXY8KV4fW0d0KQQZZ6hMz6oXjMUKK9hIL_4iVTe6T03H5MuqgIah6RKNxwC2YFXF_hU96rhVxUnV-mkFAOp36xa5wxIwvVRPeTZHMxEkWv3ZRQxeqqtiNfcQY6UsaxvOB--q60jadI0AjMZE7fVT-zujJeJombPowsm0JBKlzpuJdKxHs2dv_X21ZcqwSHo4O0fLkmOofr-JpBwdIwSfxA2YsVt5wlPkLnivbnNY3j6A8-sVVb_FbvjSCFaotAzOigLHRuHbJkUXM&key=AIzaSyCtQ3VXDHwScJxudQOPcElVY3YMAmHR124,"{'lat': 23.5793205, 'lng': 119.5759138}",ChIJPQ-HNOFabDQRU644LbBavdY,https://www.google.com/maps/place/?q=place_id:ChIJPQ-HNOFabDQRU644LbBavdY
澎湖臨海居度假會館,N/A,4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATKogpcZyVPj41WzfgxYjij3t-k0KOlC5DNCHx_SUoiGoVWSbWAvxiiZIwr7tweUcTDCO7yseK9iM0dTPIZl_1JMcl4eE5bJJr_mYcTja9FULPVbfKGhHNseuI4hmFVAleIJZDCjmHQfWkvr5pKv2Aam6CDKD0zZfZjBQyO4EGWhVWptkPdRMFRZxo1-mmivgPLPPmFcmQAfGjLdmVogqKI0uJerSzjMWhFqrMGVsl77rlNDXVBFdewg-xqdbJu3muzGYl76zBpPnoXHeUqYnTAo2ZMbsy81bT5m7cOy5iFaMVuASujXaVvZ6zHxa3m4cP267LQMsmIEqFM&key=AIzaSyCtQ3VXDHwScJxudQOPcElVY3YMAmHR124,"{'lat': 23.5632514, 'lng': 119.5670471}",ChIJAe1sFI1abDQRV0YDxVnyJfg,https://www.google.com/maps/place/?q=place_id:ChIJAe1sFI1abDQRV0YDxVnyJfg
家翔琳觀海民宿-馬公【海景第一排住宿｜溫馨接送服務｜提供早餐】,N/A,4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATKogpfjB98JCixNxMvR8blmLUXqgnZw6yoV1tgw2VjaWoJFLyvwamVMRsyODnOUCtjLHttxhn3xk4HyUFkRV9neQo_-p3Dy0UnwG0BYFlT8vpKDn12kfl9GHKXjfAp3GW2VnTbg5Bbf9isKxmoy1TbMrYZocrulibVTqXDJcUySU9PrERKeO9VQ9PyT89G_h8pQgpjIbHgXQp0U4mrtqt-nbiDFBH2g1NI3ISuZi71d2xdcky45mUPiQPKCpXr0Ti4Dyz-b0owI8CKrjob8Cg_vU2BSYn1zl6ehpAA4KCh8XoZNyCxSu7p0gZ4gcq8sEfigszRJaCnMhII&key=AIzaSyCtQ3VXDHwScJxudQOPcElVY3YMAmHR124,"{'lat': 23.5732912, 'lng': 119.5669921}",ChIJSbzRR_BabDQRvE8HCF0afzg,https://www.google.com/maps/place/?q=place_id:ChIJSbzRR_BabDQRvE8HCF0afzg
棉花雲文旅民宿-Cotton Cloud B&B,N/A,4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=ATKogpcGeWnSr8-r1NFYWS0Lv3rWcUWxR0fd66vjDzuo1yjgkHin73CWObDs0K_W2tu3fOGpYjYwG8JuGdlBkD1ShNyN6MtsvV8ozfjYT3Er7_pppIjsjyVbSrJZ1o3KRak4KsBLeoSmF1Fuum1Nk91Li4rkEJmXhwo752Xp9_zK1p3Qs3njv4uQXictjZMxDNCRtQkTv3eE3grKjpTgJiXEAcUFf67mwU8kIprjv_FMxrcUdtVu-PR_S-iJXOPWC4aS984dunwejEojJnc7WgmJ6J6Pzg7k5nYoAd6y8gqsESlcNAOKZ3fypXQAn-tU3ZikQ9ROamuEZHI&key=AIzaSyCtQ3VXDHwScJxudQOPcElVY3YMAmHR124,"{'lat': 23.5763457, 'lng': 119.5708823}",ChIJsbHO72VbbDQRwTwj5FXg-r0,https://www.google.com/maps/place/?q=place_id:ChIJsbHO72VbbDQRwTwj5FXg-r0
